subject,Day0_27,PC3,PC4
T06,D17,-0.26,-3.7
T07,D17,-0.09,2.46
O01,D18,1.11,-2.79
O02,D18,-4.54,-1.83
O03,D18,4.02,-1.33
O07,D18,-1.38,-3.2
O08,D18,-4.23,-0.19
O09,D18,-1.09,2.06
O10,D18,2.54,-7.25
T01,D18,-4.37,-1.75
T03,D18,2.76,-2.15
T05,D18,4.9,-4.75
T06,D18,-2.88,-4.97
T07,D18,-3.53,-0.09
O01,D19,-1.45,-1.64
O02,D19,-8.91,0.76
O03,D19,4.41,-5.45
O07,D19,-1.38,-1.01
O08,D19,-4.77,0.22
O09,D19,0.69,1.57
T01,D19,-6.4,0.42
T02,D19,4.17,-6.98
T03,D19,1.37,-1.5
T04,D19,0.36,-2.35
T05,D19,2.98,-7.07
T06,D19,-1.43,-6.7
T07,D19,-0.48,-2.31
T08,D19,-1.58,-3.82
T09,D19,-0.73,-3.82
O01,D20,0.82,-3.57
O02,D20,-1.35,-4.68
O03,D20,2.5,-3.94
O05,D20,-6.47,0.27
O06,D20,-4.96,-5.51
O07,D20,-2.61,-0.84
O08,D20,-7.51,1.6
O09,D20,-5.86,3.57
O10,D20,-2.91,-1.81
T01,D20,-4.39,-0.06
T04,D20,-0.71,-5.36
T05,D20,5.81,-7.38
T06,D20,-2.74,-4.71
T07,D20,0.12,-3.21
T09,D20,-2.42,-4.28
O01,D21,0,-2.86
O02,D21,-4.42,-3.44
O03,D21,3.12,-3.15
O07,D21,-3.6,-1.47
O08,D21,-8,0.27
T01,D21,-8.04,0.28
T02,D21,-0.55,-6.79
T03,D21,1.52,-5.52
T04,D21,0.07,-6.38
T05,D21,4.8,-6.98
T06,D21,-2.82,-5.82
T07,D21,-1.9,-0.39
O01,D22,-4.9,-5.1
O02,D22,-10.72,-3.95
O03,D22,-1.83,-6.77
O05,D22,-9.62,0.63
O06,D22,-5.1,-5.86
O07,D22,-4.49,-5.27
O09,D22,-4.96,0.59
O10,D22,-10.5,0.15
T01,D22,-6.28,-5.41
T02,D22,-0.49,-5.91
T03,D22,2.88,-4.76
T04,D22,-2.15,-2.89
T05,D22,-0.93,-5.44
T06,D22,-2.29,-4.76
T07,D22,-3.01,-3.87
T08,D22,-3.43,-2.96
T09,D22,-2.09,-0.45
O01,D23,-3.22,-5.61
O02,D23,-4.42,-3.13
O03,D23,-0.45,-3.63
O08,D23,-9.64,0.79
O09,D23,-8.55,3.55
O10,D23,-2.21,-6.06
T01,D23,-2.48,-4.69
T02,D23,0.98,-6.85
T03,D23,1.69,-4.94
T05,D23,2.72,-7.19
T06,D23,-4.81,-5.5
T07,D23,-1.8,-5.98
O01,D24,-1.22,-4.39
O02,D24,-7.14,-2.49
O03,D24,-1.86,-3.42
O05,D24,-8.78,-0.85
O07,D24,-3.75,-4.48
O08,D24,-10.02,0.19
O10,D24,-4.64,-2.91
T01,D24,0.25,-5.18
T02,D24,-0.93,-6.14
T04,D24,-0.22,-7.09
T05,D24,1.59,-6.14
T06,D24,-3.52,-7.85
T07,D24,-2.99,-3.07
T08,D24,-3.57,-6.24
T09,D24,-8.97,1.85
O01,D25,-2.86,-3.86
O02,D25,-4.75,-4.31
O03,D25,-4.72,-1.51
