Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin145,Bin136,0.60 
O,Bin145,Bin124,0.65 
O,Bin149,Bin133,0.57 
O,Bin149,Bin129,0.45 
O,Bin149,Bin121,0.63 
O,Bin264,Bin156,0.54 
O,Bin264,Bin118,0.64 
O,Bin794,Bin763,0.52 
O,Bin794,Bin757,0.67 
O,Bin794,Bin415,0.58 
O,Bin794,Bin410,0.64 
O,Bin794,Bin336,0.68 
O,Bin794,Bin282,0.63 
O,Bin794,Bin181,0.64 
O,Bin794,Bin117,0.63 
O,Bin349,Bin331,0.57 
O,Bin349,Bin113,0.62 
O,Bin298,Bin188,0.62 
O,Bin298,Bin113,0.62 
O,Bin382,Bin279,0.78 
O,Bin382,Bin130,0.76 
O,Bin382,Bin112,0.72 
O,Bin807,Bin472,0.75 
O,Bin807,Bin111,0.80 
O,Bin472,Bin469,0.60 
O,Bin472,Bin467,0.68 
O,Bin472,Bin460,0.70 
O,Bin472,Bin448,0.61 
O,Bin472,Bin111,0.81 
O,Bin772,Bin107,0.73 
O,Bin307,Bin104,0.61 
O,Bin208,Bin102,0.78 
O,Bin907,Bin886,0.78 
O,Bin907,Bin855,0.74 
O,Bin907,Bin836,0.79 
O,Bin907,Bin813,0.74 
O,Bin907,Bin811,0.75 
O,Bin907,Bin787,0.67 
O,Bin907,Bin765,0.82 
O,Bin907,Bin751,0.69 
O,Bin907,Bin743,0.59 
O,Bin907,Bin723,0.69 
O,Bin907,Bin705,0.78 
O,Bin907,Bin672,0.79 
O,Bin907,Bin640,0.71 
O,Bin907,Bin601,0.77 
O,Bin907,Bin574,0.73 
O,Bin907,Bin573,0.58 
O,Bin907,Bin413,0.69 
O,Bin907,Bin364,0.71 
O,Bin907,Bin362,0.78 
O,Bin907,Bin355,0.65 
O,Bin907,Bin337,0.70 
O,Bin907,Bin330,0.83 
O,Bin907,Bin329,0.81 
O,Bin907,Bin325,0.64 
O,Bin907,Bin287,0.67 
O,Bin907,Bin258,0.71 
O,Bin907,Bin214,0.66 
O,Bin907,Bin206,0.71 
O,Bin907,Bin184,0.62 
O,Bin907,Bin153,0.79 
O,Bin907,Bin147,0.64 
O,Bin907,Bin135,0.69 
O,Bin907,Bin103,0.70 
O,Bin907,Bin101,0.89 
O,Bin167,Bin100,0.50 
O,Bin365,Bin360,0.71 
O,Bin365,Bin343,0.60 
O,Bin365,Bin147,0.61 
O,Bin365,Bin142,0.65 
O,Bin365,Bin139,0.78 
O,Bin365,Bin98,0.71 
O,Bin715,Bin710,0.75 
O,Bin715,Bin708,0.70 
O,Bin715,Bin684,0.61 
O,Bin715,Bin634,0.61 
O,Bin715,Bin600,0.68 
O,Bin715,Bin542,0.64 
O,Bin715,Bin487,0.61 
O,Bin715,Bin485,0.58 
O,Bin715,Bin304,0.60 
O,Bin715,Bin302,0.55 
O,Bin715,Bin290,0.70 
O,Bin715,Bin231,0.60 
O,Bin715,Bin102,0.57 
O,Bin715,Bin97,0.64 
O,Bin1086,Bin1004,0.68 
O,Bin1086,Bin753,0.65 
O,Bin1086,Bin626,0.61 
O,Bin1086,Bin591,0.63 
O,Bin1086,Bin492,0.61 
O,Bin1086,Bin123,0.65 
O,Bin1086,Bin96,0.62 
O,Bin984,Bin948,0.67 
O,Bin984,Bin935,0.66 
O,Bin984,Bin934,0.63 
O,Bin984,Bin915,0.63 
O,Bin984,Bin903,0.59 
O,Bin984,Bin861,0.63 
O,Bin984,Bin827,0.68 
O,Bin984,Bin806,0.55 
O,Bin984,Bin771,0.70 
O,Bin984,Bin727,0.60 
O,Bin984,Bin626,0.67 
O,Bin984,Bin621,0.69 
O,Bin984,Bin585,0.73 
O,Bin984,Bin492,0.66 
O,Bin984,Bin445,0.69 
O,Bin984,Bin374,0.61 
O,Bin984,Bin369,0.58 
O,Bin984,Bin334,0.65 
O,Bin984,Bin299,0.64 
O,Bin984,Bin277,0.77 
O,Bin984,Bin219,0.62 
O,Bin984,Bin196,0.63 
O,Bin984,Bin178,0.55 
O,Bin984,Bin162,0.64 
O,Bin984,Bin161,0.59 
O,Bin984,Bin146,0.59 
