Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin629,Bin301,-0.54 
T,Bin744,Bin301,-0.55 
T,Bin863,Bin301,-0.53 
T,Bin899,Bin301,-0.55 
T,Bin1040,Bin301,-0.59 
T,Bin757,Bin302,-0.58 
T,Bin1010,Bin308,-0.52 
T,Bin320,Bin309,-0.63 
T,Bin680,Bin309,-0.56 
T,Bin855,Bin320,-0.63 
T,Bin936,Bin320,-0.62 
T,Bin1051,Bin320,-0.62 
T,Bin596,Bin321,-0.64 
T,Bin690,Bin321,-0.64 
T,Bin784,Bin321,-0.60 
T,Bin814,Bin321,-0.63 
T,Bin946,Bin321,-0.69 
T,Bin378,Bin325,-0.52 
T,Bin494,Bin325,-0.52 
T,Bin680,Bin325,-0.56 
T,Bin744,Bin325,-0.56 
T,Bin775,Bin325,-0.58 
T,Bin863,Bin325,-0.53 
T,Bin924,Bin325,-0.53 
T,Bin413,Bin326,-0.62 
T,Bin855,Bin326,-0.57 
T,Bin936,Bin326,-0.53 
T,Bin1051,Bin326,-0.61 
T,Bin668,Bin333,-0.57 
T,Bin692,Bin333,-0.56 
T,Bin822,Bin333,-0.61 
T,Bin846,Bin334,-0.55 
T,Bin846,Bin336,-0.57 
T,Bin715,Bin339,-0.56 
T,Bin935,Bin341,-0.62 
T,Bin863,Bin342,-0.59 
T,Bin533,Bin343,-0.55 
T,Bin905,Bin343,-0.55 
T,Bin456,Bin345,-0.55 
T,Bin846,Bin345,-0.55 
T,Bin960,Bin345,-0.53 
T,Bin855,Bin350,-0.56 
T,Bin777,Bin360,-0.57 
T,Bin775,Bin364,-0.56 
T,Bin793,Bin364,-0.61 
T,Bin710,Bin366,-0.50 
T,Bin907,Bin366,-0.46 
T,Bin782,Bin370,-0.56 
T,Bin562,Bin375,-0.59 
T,Bin822,Bin375,-0.57 
T,Bin743,Bin378,-0.53 
T,Bin790,Bin380,-0.61 
T,Bin690,Bin386,-0.57 
T,Bin822,Bin390,-0.62 
T,Bin947,Bin390,-0.55 
T,Bin449,Bin392,-0.62 
T,Bin452,Bin392,-0.57 
T,Bin453,Bin392,-0.57 
T,Bin693,Bin392,-0.58 
T,Bin744,Bin392,-0.61 
T,Bin911,Bin392,-0.55 
T,Bin935,Bin392,-0.61 
T,Bin555,Bin393,-0.53 
T,Bin562,Bin393,-0.57 
T,Bin668,Bin393,-0.64 
T,Bin684,Bin393,-0.54 
T,Bin723,Bin393,-0.56 
T,Bin751,Bin393,-0.56 
T,Bin855,Bin393,-0.62 
T,Bin907,Bin393,-0.56 
T,Bin1026,Bin393,-0.53 
T,Bin542,Bin396,-0.50 
T,Bin710,Bin396,-0.55 
T,Bin732,Bin396,-0.52 
T,Bin759,Bin396,-0.59 
T,Bin944,Bin396,-0.54 
T,Bin953,Bin396,-0.55 
T,Bin1035,Bin396,-0.52 
T,Bin668,Bin397,-0.61 
T,Bin777,Bin398,-0.61 
T,Bin905,Bin398,-0.58 
T,Bin800,Bin400,-0.49 
T,Bin822,Bin400,-0.56 
T,Bin953,Bin400,-0.51 
T,Bin777,Bin403,-0.56 
T,Bin677,Bin406,-0.50 
T,Bin950,Bin406,-0.50 
T,Bin454,Bin411,-0.59 
T,Bin726,Bin411,-0.61 
T,Bin796,Bin411,-0.53 
T,Bin822,Bin411,-0.55 
T,Bin946,Bin411,-0.63 
T,Bin953,Bin411,-0.55 
T,Bin960,Bin411,-0.63 
T,Bin988,Bin411,-0.48 
T,Bin419,Bin413,-0.62 
T,Bin775,Bin413,-0.57 
T,Bin935,Bin413,-0.60 
T,Bin1015,Bin413,-0.59 
T,Bin726,Bin417,-0.66 
T,Bin1026,Bin418,-0.57 
T,Bin456,Bin419,-0.65 
T,Bin562,Bin419,-0.66 
T,Bin605,Bin419,-0.53 
T,Bin636,Bin419,-0.55 
T,Bin723,Bin419,-0.59 
T,Bin751,Bin419,-0.65 
T,Bin765,Bin419,-0.59 
T,Bin846,Bin419,-0.58 
T,Bin855,Bin419,-0.66 
T,Bin873,Bin419,-0.62 
T,Bin936,Bin419,-0.59 
T,Bin1007,Bin419,-0.57 
T,Bin1051,Bin419,-0.61 
T,Bin950,Bin429,-0.54 
T,Bin1051,Bin432,-0.63 
T,Bin460,Bin440,-0.52 
T,Bin586,Bin443,-0.49 
T,Bin905,Bin446,-0.59 
T,Bin456,Bin452,-0.59 
T,Bin513,Bin452,-0.61 
T,Bin574,Bin452,-0.54 
T,Bin596,Bin452,-0.67 
T,Bin634,Bin452,-0.69 
T,Bin677,Bin452,-0.56 
T,Bin684,Bin452,-0.68 
T,Bin690,Bin452,-0.65 
T,Bin726,Bin452,-0.66 
T,Bin741,Bin452,-0.60 
T,Bin751,Bin452,-0.59 
T,Bin784,Bin452,-0.65 
T,Bin814,Bin452,-0.67 
T,Bin909,Bin452,-0.65 
T,Bin938,Bin452,-0.63 
T,Bin940,Bin452,-0.66 
T,Bin941,Bin452,-0.61 
T,Bin946,Bin452,-0.68 
T,Bin951,Bin452,-0.72 
T,Bin1051,Bin452,-0.64 
T,Bin1089,Bin452,-0.52 
T,Bin677,Bin453,-0.52 
T,Bin460,Bin454,-0.58 
T,Bin775,Bin454,-0.60 
T,Bin850,Bin454,-0.62 
T,Bin629,Bin456,-0.61 
T,Bin701,Bin456,-0.62 
